1.1	-0.3	-1.5	1.1	0.3	-1.5	-0	-0.1309	-0.62832	1.2566	-0.62832	0.1309	0	0.1309	-0.62832	1.2566	-0.62832	-0.1309
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00041217	-0.12949	-0.6185	1.2349	-0.61958	0.12752	0.00032417	0.12996	-0.61671	1.2311	-0.61763	-0.13183
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00041217	-0.12949	-0.6185	1.2349	-0.61958	0.12752	0.00032417	0.12996	-0.61671	1.2311	-0.61763	-0.13183
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00041217	-0.12949	-0.6185	1.2349	-0.61958	0.12752	0.00032417	0.12996	-0.61671	1.2311	-0.61763	-0.13183
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00022818	-0.1298	-0.61609	1.2307	-0.61623	0.13255	0.00015685	0.12977	-0.6184	1.235	-0.61826	-0.12696
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00011423	-0.13008	-0.61342	1.2253	-0.61273	0.13806	5.896e-05	0.12923	-0.62051	1.2393	-0.61951	-0.12124
1.1	-0.3	-1.5	1.1	0.3	-1.5	-4.0732e-06	-0.13044	-0.61087	1.2206	-0.60939	0.14392	-9.3867e-05	0.1291	-0.62239	1.2437	-0.62086	-0.11556
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00028286	-0.1307	-0.60832	1.2153	-0.60612	0.14967	5.8566e-05	0.12872	-0.62442	1.2477	-0.62244	-0.10978
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00017008	-0.13092	-0.60558	1.21	-0.60307	0.15518	-0.00015247	0.12823	-0.62669	1.2519	-0.62386	-0.104
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00019247	-0.13116	-0.60312	1.2046	-0.59988	0.16072	-0.00023534	0.12777	-0.62878	1.256	-0.62559	-0.098177
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00026293	-0.13141	-0.60046	1.1991	-0.59695	0.16642	-0.00020832	0.12741	-0.63107	1.2599	-0.62704	-0.092371
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00017113	-0.13167	-0.59808	1.1933	-0.59355	0.17217	-0.00023401	0.12699	-0.63322	1.2637	-0.62888	-0.086499
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00023921	-0.13193	-0.59549	1.1874	-0.59043	0.17788	-0.00021409	0.12655	-0.63565	1.2674	-0.63025	-0.080644
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00016149	-0.13202	-0.59317	1.1816	-0.58687	0.18329	-0.00023353	0.12604	-0.63773	1.271	-0.63163	-0.074773
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.00016362	-0.13225	-0.59058	1.1755	-0.58339	0.18886	-0.00018841	0.12553	-0.64009	1.2744	-0.63279	-0.06889
1.1	-0.3	-1.5	1.1	0.3	-1.5	0.0001294	-0.13253	-0.58791	1.1688	-0.57993	0.19459	-0.00011626	0.12497	-0.64256	1.2777	-0.63417	-0.062935
1.1	-0.3	-1.5	1.1	0.3	-1.5	7.8671e-05	-0.13269	-0.58552	1.1626	-0.57634	0.20013	-9.4039e-05	0.12442	-0.64487	1.2809	-0.63535	-0.057007
1.1	-0.3	-1.5	1.1	0.3	-1.5	8.8505e-05	-0.13278	-0.58314	1.1566	-0.57285	0.20561	-9.3796e-05	0.12392	-0.64715	1.284	-0.63634	-0.051108
1.1	-0.3	-1.5	1.1	0.3	-1.5	-8.2234e-05	-0.13313	-0.58064	1.149	-0.56885	0.21124	4.3943e-05	0.12318	-0.64984	1.287	-0.63757	-0.045032
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.0001236	-0.13328	-0.57815	1.1426	-0.56522	0.21677	8.3611e-05	0.12255	-0.65213	1.2899	-0.63855	-0.039056
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00021518	-0.1335	-0.57569	1.1354	-0.56108	0.22233	0.00013971	0.12188	-0.65462	1.2926	-0.63936	-0.033053
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00029333	-0.13363	-0.5733	1.1284	-0.55703	0.22773	0.00020688	0.12118	-0.6571	1.2951	-0.63997	-0.027068
1.1	-0.3	-1.5	1.1	0.3	-1.5	-0.00036319	-0.13376	-0.57098	1.1219	-0.55314	0.23319	0.00024588	0.12055	-0.65931	1.2976	-0.64049	-0.021123
